"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","998 BP","857 BP","1434 BP",1,38244
"a[2]","975 BP","790 BP","1458 BP",1,40602
"a[3]","1648 BP","1560 BP","1939 BP",1,40297
"a[4]","1629 BP","1442 BP","2103 BP",1,40102
"a[5]","2124 BP","1436 BP","2833 BP",1,39953
"a[6]","877 BP","822 BP","1015 BP",1,36886
"a[7]","1653 BP","1606 BP","1772 BP",1,38559
"a[8]","1597 BP","1486 BP","1905 BP",1,39626
"a[9]","1782 BP","1420 BP","2281 BP",1,39255
"a[10]","966 BP","895 BP","1087 BP",1,6505
"a[11]","988 BP","947 BP","1091 BP",1,40249
"a[12]","1640 BP","1591 BP","1765 BP",1,39342
"a[13]","1561 BP","1452 BP","1845 BP",1,39231
"a[14]","2325 BP","2214 BP","2599 BP",1,37380
"a[15]","966 BP","900 BP","1071 BP",1,22721
"a[16]","1850 BP","1799 BP","1947 BP",1,37553
"a[17]","1637 BP","1584 BP","1784 BP",1,37901
"a[18]","1870 BP","1802 BP","2031 BP",1,40127
"a[19]","956 BP","865 BP","1157 BP",1,31011
"a[20]","1154 BP","1106 BP","1235 BP",1,31918
"a[21]","1493 BP","1427 BP","1717 BP",1,38555
"a[22]","1754 BP","1673 BP","1953 BP",1,31212
"a[23]","1911 BP","1610 BP","2407 BP",1,40253
"a[24]","924 BP","864 BP","1022 BP",1,10836
"a[25]","1205 BP","1150 BP","1332 BP",1,38748
"a[26]","1616 BP","1500 BP","1864 BP",1,40000
"a[27]","1732 BP","1638 BP","1978 BP",1,38430
"a[28]","1374 BP","1324 BP","1486 BP",1,40641
"a[29]","1272 BP","1217 BP","1378 BP",1,34538
"a[30]","1460 BP","1393 BP","1668 BP",1,40000
"a[31]","1584 BP","1365 BP","1977 BP",1,39245
"a[32]","1884 BP","1379 BP","2405 BP",1,39507
"a[33]","1333 BP","1307 BP","1382 BP",1,28920
"a[34]","1842 BP","1805 BP","1900 BP",1,29137
"a[35]","1566 BP","1498 BP","1835 BP",1,28960
"a[36]","1763 BP","1518 BP","2193 BP",1,40000
"a[37]","1486 BP","1409 BP","1706 BP",1,38773
"a[38]","1256 BP","1209 BP","1320 BP",1,6222
"a[39]","1626 BP","1591 BP","1692 BP",1,36378
"a[40]","2013 BP","1950 BP","2170 BP",1,38220
"a[41]","1938 BP","1426 BP","2474 BP",1,39469
"a[42]","1270 BP","1226 BP","1346 BP",1,18636
"a[43]","1302 BP","1222 BP","1488 BP",1,22710
"a[44]","1576 BP","1543 BP","1664 BP",1,23014
"a[45]","2079 BP","2007 BP","2252 BP",1,38563
"a[46]","1462 BP","1418 BP","1626 BP",1,19557
"a[47]","1395 BP","1340 BP","1515 BP",1,38371
"a[48]","1576 BP","1550 BP","1633 BP",1,19007
"a[49]","1696 BP","1636 BP","1819 BP",1,29841
"a[50]","1887 BP","1393 BP","2403 BP",1,40000
"a[51]","1396 BP","1353 BP","1489 BP",1,37918
"a[52]","1268 BP","1140 BP","1547 BP",1,39599
"a[53]","1781 BP","1733 BP","1921 BP",1,36388
"a[54]","1794 BP","1743 BP","1930 BP",1,38328
"a[55]","1674 BP","1601 BP","1851 BP",1,36633
"a[56]","1749 BP","1712 BP","1813 BP",1,4999
"a[57]","1360 BP","1262 BP","1630 BP",1,41753
"a[58]","1164 BP","1000 BP","1633 BP",1,39656
"a[59]","1583 BP","1093 BP","2096 BP",1,39689
"a[60]","1686 BP","1626 BP","1804 BP",1,36255
"a[61]","1481 BP","1438 BP","1556 BP",1,28042
"a[62]","1436 BP","1391 BP","1544 BP",1,40000
"a[63]","1137 BP","1028 BP","1473 BP",1,39792
"a[64]","1871 BP","1765 BP","2184 BP",1,40154
"a[65]","1398 BP","1343 BP","1486 BP",1,37828
"a[66]","1505 BP","1451 BP","1599 BP",1,37969
"a[67]","1257 BP","1213 BP","1345 BP",1,23878
"a[68]","1320 BP","826 BP","1835 BP",1,40180
"a[69]","1740 BP","1688 BP","1849 BP",1,24056
"a[70]","1304 BP","1259 BP","1375 BP",1,29921
"a[71]","952 BP","867 BP","1135 BP",1,35709
"a[72]","1158 BP","1084 BP","1324 BP",1,34391
"a[73]","1898 BP","1771 BP","2250 BP",1,38937
"a[74]","1159 BP","1102 BP","1271 BP",1,30704
"a[75]","938 BP","864 BP","1082 BP",1,33661
"a[76]","1188 BP","1114 BP","1331 BP",1,35001
"a[77]","1141 BP","854 BP","1711 BP",1,40959
"a[78]","1711 BP","1638 BP","1891 BP",1,12097
"a[79]","1066 BP","798 BP","1600 BP",1,39218
"a[80]","792 BP","747 BP","923 BP",1,23100
"a[81]","1113 BP","968 BP","1517 BP",1,39287
