"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","1076 BP","861 BP","2447 BP",1,39456
"a[2]","930 BP","779 BP","1923 BP",1,38303
"a[3]","1658 BP","1561 BP","2136 BP",1,38980
"a[4]","1695 BP","1442 BP","2780 BP",1,40845
"a[5]","2132 BP","515 BP","2961 BP",1,40066
"a[6]","872 BP","820 BP","1009 BP",1,38145
"a[7]","1663 BP","1608 BP","1826 BP",1,39331
"a[8]","1607 BP","1483 BP","2291 BP",1,39441
"a[9]","1568 BP","1386 BP","2763 BP",1,37211
"a[10]","965 BP","892 BP","1098 BP",1,7100
"a[11]","981 BP","945 BP","1069 BP",1,39537
"a[12]","1639 BP","1590 BP","1778 BP",1,38815
"a[13]","1533 BP","1444 BP","1854 BP",1,37794
"a[14]","2528 BP","2248 BP","2970 BP",1,39760
"a[15]","966 BP","898 BP","1079 BP",1,21518
"a[16]","1875 BP","1808 BP","2076 BP",1,37221
"a[17]","1639 BP","1584 BP","1820 BP",1,37861
"a[18]","1873 BP","1801 BP","2093 BP",1,36010
"a[19]","949 BP","861 BP","1167 BP",1,30390
"a[20]","1152 BP","1105 BP","1235 BP",1,32200
"a[21]","1490 BP","1426 BP","1801 BP",1,33124
"a[22]","1773 BP","1676 BP","2171 BP",1,35742
"a[23]","2024 BP","1598 BP","2934 BP",1,38770
"a[24]","916 BP","860 BP","1000 BP",1,8612
"a[25]","1194 BP","1144 BP","1295 BP",1,36900
"a[26]","1639 BP","1498 BP","2213 BP",1,39334
"a[27]","1726 BP","1635 BP","2071 BP",1,35733
"a[28]","1379 BP","1325 BP","1525 BP",1,39274
"a[29]","1272 BP","1216 BP","1385 BP",1,33583
"a[30]","1453 BP","1391 BP","1704 BP",1,38670
"a[31]","1475 BP","1345 BP","2250 BP",1,38050
"a[32]","2136 BP","516 BP","2961 BP",1,39612
"a[33]","1332 BP","1305 BP","1383 BP",1.04,27263
"a[34]","1849 BP","1809 BP","1927 BP",1,31479
"a[35]","1565 BP","1496 BP","2243 BP",1,12676
"a[36]","1687 BP","1492 BP","2714 BP",1,39184
"a[37]","1510 BP","1413 BP","1942 BP",1,38880
"a[38]","1253 BP","1205 BP","1317 BP",1.01,5032
"a[39]","1626 BP","1591 BP","1696 BP",1,35505
"a[40]","2061 BP","1960 BP","2622 BP",1,40000
"a[41]","2143 BP","515 BP","2964 BP",1,40356
"a[42]","1267 BP","1225 BP","1340 BP",1,17185
"a[43]","1283 BP","1214 BP","1445 BP",1,14648
"a[44]","1573 BP","1542 BP","1657 BP",1,22678
"a[45]","2120 BP","2019 BP","2614 BP",1,39653
"a[46]","1463 BP","1417 BP","1694 BP",1.01,10518
"a[47]","1395 BP","1340 BP","1536 BP",1,38693
"a[48]","1577 BP","1550 BP","1635 BP",1,17246
"a[49]","1693 BP","1635 BP","1824 BP",1,28661
"a[50]","2129 BP","504 BP","2961 BP",1,40331
"a[51]","1393 BP","1352 BP","1481 BP",1,37848
"a[52]","1223 BP","1124 BP","1510 BP",1,38337
"a[53]","1814 BP","1738 BP","2260 BP",1,38464
"a[54]","1810 BP","1746 BP","2069 BP",1,35947
"a[55]","1681 BP","1602 BP","1910 BP",1,35400
"a[56]","1753 BP","1714 BP","1831 BP",1,6736
"a[57]","1338 BP","1255 BP","1701 BP",1,37910
"a[58]","1045 BP","985 BP","1345 BP",1,27368
"a[59]","2139 BP","526 BP","2963 BP",1,40000
"a[60]","1690 BP","1627 BP","1823 BP",1,35315
"a[61]","1483 BP","1438 BP","1563 BP",1,27720
"a[62]","1439 BP","1391 BP","1573 BP",1,39060
"a[63]","1093 BP","1019 BP","1387 BP",1,36727
"a[64]","1962 BP","1773 BP","2830 BP",1,40456
"a[65]","1395 BP","1340 BP","1481 BP",1,34600
"a[66]","1517 BP","1455 BP","1640 BP",1,37215
"a[67]","1259 BP","1213 BP","1354 BP",1,22661
"a[68]","2138 BP","525 BP","2963 BP",1,39142
"a[69]","1747 BP","1694 BP","1887 BP",1,36700
"a[70]","1305 BP","1260 BP","1380 BP",1,28729
"a[71]","932 BP","858 BP","1091 BP",1,33260
"a[72]","1155 BP","1082 BP","1345 BP",1,30327
"a[73]","1979 BP","1779 BP","2836 BP",1,40268
"a[74]","1149 BP","1099 BP","1247 BP",1,28175
"a[75]","929 BP","859 BP","1062 BP",1,33102
"a[76]","1198 BP","1116 BP","1380 BP",1,34406
"a[77]","1351 BP","851 BP","2869 BP",1,40258
"a[78]","1716 BP","1641 BP","2042 BP",1,9907
"a[79]","1292 BP","796 BP","2863 BP",1,39694
"a[80]","789 BP","746 BP","912 BP",1.01,21010
"a[81]","1125 BP","965 BP","1989 BP",1,40000
