"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","5571 BP","5159 BP","5986 BP",1,39595
"a[2]","5758 BP","5705 BP","5946 BP",1,25724
"a[3]","6042 BP","5987 BP","6281 BP",1,31797
"a[4]","6260 BP","5884 BP","6618 BP",1,41404
"a[5]","6310 BP","5868 BP","6761 BP",1,39629
"a[6]","5589 BP","5579 BP","5615 BP",1,17726
"a[7]","5970 BP","5947 BP","6045 BP",1,30002
"a[8]","6201 BP","6144 BP","6379 BP",1,40223
"a[9]","6270 BP","6207 BP","6458 BP",1,40000
"a[10]","5542 BP","5510 BP","5687 BP",1,23704
"a[11]","5713 BP","5675 BP","5815 BP",1,34444
"a[12]","6040 BP","6004 BP","6166 BP",1,40000
"a[13]","6471 BP","6442 BP","6547 BP",1,39629
"a[14]","6331 BP","6009 BP","6661 BP",1,40000
"a[15]","5573 BP","5552 BP","5625 BP",1,29495
"a[16]","6118 BP","6089 BP","6196 BP",1,40319
"a[17]","6379 BP","6340 BP","6497 BP",1,35345
"a[18]","6345 BP","6306 BP","6452 BP",1,40000
"a[19]","5492 BP","5404 BP","5706 BP",1,39952
"a[20]","5809 BP","5775 BP","5897 BP",1,38517
"a[21]","6149 BP","6105 BP","6275 BP",1,38730
"a[22]","6485 BP","6441 BP","6598 BP",1,39661
"a[23]","6363 BP","6214 BP","6663 BP",1,40502
"a[24]","5659 BP","5647 BP","5696 BP",1,3575
"a[25]","6090 BP","6070 BP","6141 BP",1,36975
"a[26]","6362 BP","6310 BP","6498 BP",1,40314
"a[27]","6436 BP","6368 BP","6601 BP",1,39552
"a[28]","5485 BP","5463 BP","5550 BP",1,32336
"a[29]","5809 BP","5794 BP","5855 BP",1,35129
"a[30]","6146 BP","6117 BP","6226 BP",1,39456
"a[31]","6418 BP","6376 BP","6539 BP",1,39687
"a[32]","6334 BP","6038 BP","6640 BP",1,40400
"a[33]","5476 BP","5468 BP","5495 BP",1,1872
"a[34]","5961 BP","5941 BP","6012 BP",1,35496
"a[35]","6200 BP","6151 BP","6329 BP",1,32626
"a[36]","6295 BP","6230 BP","6441 BP",1,40369
"a[37]","5399 BP","5375 BP","5481 BP",1,37014
"a[38]","5630 BP","5624 BP","5649 BP",1,2950
"a[39]","6063 BP","6024 BP","6148 BP",1,40000
"a[40]","6148 BP","6121 BP","6223 BP",1,39092
"a[41]","6188 BP","6093 BP","6435 BP",1,39716
"a[42]","5391 BP","5382 BP","5412 BP",1,3411
"a[43]","5748 BP","5736 BP","5780 BP",1,30746
"a[44]","5958 BP","5913 BP","6070 BP",1,39689
"a[45]","5916 BP","5897 BP","5996 BP",1,10756
"a[46]","5222 BP","5203 BP","5285 BP",1,39666
"a[47]","5511 BP","5502 BP","5534 BP",1,18623
"a[48]","5783 BP","5765 BP","5832 BP",1,38263
"a[49]","5960 BP","5929 BP","6051 BP",1,28711
"a[50]","5919 BP","5625 BP","6219 BP",1,40342
"a[51]","5148 BP","5139 BP","5169 BP",1,14957
"a[52]","5525 BP","5510 BP","5563 BP",1,37064
"a[53]","5811 BP","5766 BP","5929 BP",1,40000
"a[54]","5804 BP","5794 BP","5837 BP",1,10710
"a[55]","5112 BP","5092 BP","5175 BP",1,39395
"a[56]","5374 BP","5370 BP","5389 BP",1.01,1248
"a[57]","5677 BP","5642 BP","5771 BP",1,40000
"a[58]","5669 BP","5638 BP","5749 BP",1,38381
"a[59]","5711 BP","5610 BP","5958 BP",1,38463
"a[60]","5070 BP","5055 BP","5109 BP",1,33453
"a[61]","5449 BP","5429 BP","5494 BP",1,29292
"a[62]","5490 BP","5455 BP","5606 BP",1,6107
"a[63]","5561 BP","5539 BP","5631 BP",1,28129
"a[64]","4992 BP","4950 BP","5123 BP",1,38844
"a[65]","5133 BP","5113 BP","5187 BP",1,37217
"a[66]","5338 BP","5281 BP","5506 BP",1,39424
"a[67]","5494 BP","5475 BP","5561 BP",1,26271
"a[68]","5461 BP","5159 BP","5765 BP",1,40799
"a[69]","4931 BP","4911 BP","4983 BP",1,39710
"a[70]","5153 BP","5123 BP","5243 BP",1,40453
"a[71]","5446 BP","5406 BP","5566 BP",1,37653
"a[72]","5299 BP","5275 BP","5355 BP",1,36225
"a[73]","4755 BP","4738 BP","4826 BP",1,27533
"a[74]","5054 BP","5029 BP","5108 BP",1,37056
"a[75]","5178 BP","5140 BP","5291 BP",1,38675
"a[76]","5289 BP","5240 BP","5443 BP",1,23643
"a[77]","5202 BP","5081 BP","5561 BP",1,36310
"a[78]","4807 BP","4768 BP","4938 BP",1,23555
"a[79]","5079 BP","5044 BP","5242 BP",1,23887
"a[80]","5314 BP","4978 BP","5653 BP",1,40287
"a[81]","5128 BP","5051 BP","5459 BP",1,35887
