"n_sites","n_areas","avg_precision_diff","sd_precision_diff"
0,6,"-1364 years","156 years"
1,4,"-824 years","456 years"
2,1,"-512 years","NA years"
3,6,"-643 years","200 years"
4,3,"-232 years","216 years"
5,6,"-254 years","264 years"
6,2,"-275 years","269 years"
7,8,"-108 years","122 years"
8,5,"-82 years","132 years"
9,1,"5 years","NA years"
10,5,"-21 years","37 years"
11,3,"-15 years","8 years"
12,2,"-27 years","12 years"
13,7,"-20 years","50 years"
14,2,"-21 years","25 years"
15,1,"-22 years","NA years"
16,5,"-15 years","29 years"
17,2,"-12 years","5 years"
18,2,"-3 years","4 years"
20,1,"33 years","NA years"
21,4,"2 years","13 years"
22,1,"8 years","NA years"
23,1,"-3 years","NA years"
24,1,"5 years","NA years"
26,1,"-2 years","NA years"
27,1,"3 years","NA years"
